alpha,V0,kz,tier,xi_sponge,n_pts,amp0_log,gamma_r2,r2,t0,t1,gamma_plateau,plateau_t0,plateau_t1,has_plateau,gamma_sim,src,gamma_chased,ratio,rel_err
3.0,0.02,4.0,int,8.0,101,-14.020890713612598,0.08357071127273802,0.9999859397384776,81.91212095243843,94.89818890831282,0.08424737494215935,80.9131926481404,98.89390212550494,True,0.08424737494215935,abi/ym_k4_a3.000_circ_az2seed_v0.0200_sp8.0_eps0.15_nkz0_nkz1to3_bp14_hd5e-05_recorr,0.0938938612393764,0.8972617999740797,0.10273820002592024
3.0,0.02,5.0,int,8.0,101,-14.132462684005965,0.0848144676902412,0.999976970966956,73.92069451805419,86.90676247392858,0.08512974911951408,76.91747943094828,88.90461908252463,True,0.08512974911951408,abi/ym_k5_a3.000_circ_az2seed_v0.0200_sp8.0_eps0.15_nkz0_nkz1to4_bp14_hd5e-05_recorr,0.0977401819558333,0.8709800556539009,0.12901994434609912
3.0,0.02,6.0,int,8.0,101,-14.223623208409473,0.09044820149187432,0.9999988735918344,86.90676247392858,99.89283042980296,0.08653393936842212,73.92069451805419,87.90569077822661,True,0.08653393936842212,t130/ym_k6_a3.000_circ_az2seed_v0.0200_sp8.0_eps0.15_nkz0_nkz1to5_bp14_hd5e-05_recorr,0.0993986898465121,0.8705742450131359,0.12942575498686418
3.0,0.02,7.0,int,8.0,101,-14.300698514915794,0.08612240589387289,0.9999996291765187,86.90676247392858,99.89283042980296,0.08528358473411961,73.92069451805419,99.89283042980296,True,0.08528358473411961,t126/ym_k7_a3.000_circ_az2seed_v0.0200_sp8.0_eps0.15_nkz0_nkz1to6_bp14_hd5e-05_recorr,0.0995947733500806,0.8563058267560242,0.14369417324397588
0.9,0.03,1.0,int,14.0,101,-12.523024622989938,0.052932013049222515,0.999993189811541,73.92069451805419,86.90676247392858,0.05324255595665176,70.9239096051601,89.90354738682267,True,0.05324255595665176,t140/ym_k1_a0.900_circ_az2seed_v0.0300_sp14.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0607139846252954,0.87694056460378,0.12305943539622004
1.0,0.03,1.0,int,14.0,101,-12.57570492432812,0.054187601739811596,0.9999935145988226,72.92176621375616,85.90783416963055,0.05439987038224594,70.9239096051601,87.90569077822661,True,0.05439987038224594,t140/ym_k1_a1.000_circ_az2seed_v0.0300_sp14.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0621279350155592,0.8756104700505841,0.12438952994941585
1.1,0.03,1.0,int,10.0,101,-12.623360107801295,0.05181477777425422,0.9999941038562989,74.91962282235222,87.90569077822661,0.05196842622256765,76.91747943094828,90.9024756911207,True,0.05196842622256765,t133/ym_k1_a1.100_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.057481672038868,0.9040868920345185,0.09591310796548153
1.2,0.03,1.0,int,10.0,101,-12.666865777268574,0.052861626289119334,0.9999947715164448,73.92069451805419,86.90676247392858,0.05308442325981915,75.91855112665026,89.90354738682267,True,0.05308442325981915,t132/ym_k1_a1.200_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0586547119080087,0.9050325461162314,0.09496745388376862
1.3,0.03,1.0,int,10.0,101,-12.706887033050698,0.05381215496045171,0.9999946473885428,72.92176621375616,85.90783416963055,0.06894556183208389,43.95284538911331,55.939985040689656,True,0.06894556183208389,t132/ym_k1_a1.300_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0597177265378792,1.1545242230270008,0.15452422302700083
1.4,0.03,1.0,int,10.0,101,-12.743941045711034,0.05467448214584819,0.9999943641245377,71.92283790945814,84.90890586533251,,,,False,0.05467448214584819,t132/ym_k1_a1.400_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0606829278790772,0.900986225562451,0.09901377443754905
