kz,alpha,V0,eps,xi_sponge,gamma_chased
1.5,3.0,0.2,0.15,8.0,0.24873297203980638
4.0,0.4,0.2,0.15,8.0,0.17138085964028238
4.0,0.6,0.03,0.15,12.0,0.0744870693729969
1.5,1.6,0.1,0.15,8.0,0.15879979612477507
3.0,1.9,0.01,0.15,22.0,0.052479786393027694
3.0,2.1,0.1,0.15,8.0,0.2305390213019795
3.0,2.1,0.2,0.15,8.0,0.3356373801122381
3.0,2.6,0.01,0.15,22.0,0.057043549227266094
1.5,2.6,0.05,0.15,5.0,0.09645967372414004
1.5,2.6,0.2,0.15,8.0,0.23084668175101128
3.0,2.7,0.2,0.15,8.0,0.29546648071068154
4.0,0.6,0.1,0.15,8.0,0.1411880401671242
4.0,0.8,0.05,0.15,8.0,0.10647872207215606
4.0,0.8,0.2,0.15,8.0,0.24318223922199297
4.0,1.1,0.05,0.15,8.0,0.12106768989089288
4.0,2.1,0.01,0.15,22.0,0.05683699539723221
4.0,2.1,0.1,0.15,8.0,0.24176218546997724
4.0,2.1,0.2,0.15,8.0,0.3729849870344288
4.0,2.4,0.01,0.15,22.0,0.05905534556233623
1.5,2.8,0.01,0.15,22.0,0.04692673929484862
1.5,2.8,0.05,0.15,6.0,0.10574777158496107
3.0,2.8,0.1,0.15,8.0,0.24857952971498695
1.5,2.9,0.2,0.15,8.0,0.24487919142916592
4.0,2.6,0.01,0.15,22.0,0.060407742001767434
4.0,2.7,0.01,0.15,22.0,0.06105115906721622
4.0,2.7,0.2,0.15,8.0,0.3931933211758612
4.0,2.8,0.1,0.15,8.0,0.2677520272578072
4.0,1.1,0.2,0.15,8.0,0.28446985669195096
4.0,1.3,0.05,0.15,8.0,0.12921568313969783
4.0,1.3,0.2,0.15,8.0,0.3078561145908474
4.0,1.6,0.1,0.15,8.0,0.21726068571112958
4.0,2.9,0.01,0.15,22.0,0.06227933723921353
4.0,2.9,0.2,0.15,8.0,0.3942174870968382
4.0,3.0,0.01,0.15,22.0,0.06286646792828006
4.0,3.0,0.2,0.15,8.0,0.3933876328122497
5.0,0.7,0.05,0.15,8.0,0.09848533977191685
5.0,0.7,0.1,0.15,8.0,0.1456395919541205
5.0,0.8,0.2,0.15,8.0,0.23072974655902123
2.5,0.9,0.05,0.15,9.0,0.10934106011646506
5.0,0.6,0.05,0.15,8.0,0.0919124747484007
5.0,0.6,0.2,0.15,8.0,0.19874050156907164
5.0,0.7,0.03,0.15,10.0,0.07582192397890673
2.5,0.7,0.05,0.15,11.0,0.10529738157605567
4.0,4.0,0.1,0.15,8.0,0.29647972677554535
5.0,0.3,0.1,0.15,8.0,0.09649518714768965
5.0,0.3,0.2,0.15,8.0,0.13922083132973959
5.0,0.4,0.1,0.15,8.0,0.11108985897559895
5.0,1.3,0.05,0.15,8.0,0.12865951069031667
2.5,1.3,0.05,0.15,8.0,0.11950132354979376
5.0,1.3,0.2,0.15,8.0,0.29692740408932355
2.5,1.4,0.01,0.15,22.0,0.04641940327209118
2.5,1.0,0.1,0.15,8.0,0.17271298519175976
5.0,1.0,0.2,0.15,8.0,0.2591481774186198
5.0,1.1,0.03,0.15,8.0,0.08813413590241306
2.5,1.1,0.2,0.15,8.0,0.2775215638012607
5.0,1.4,0.01,0.15,8.0,0.04773186899343463
2.5,1.4,0.03,0.15,10.0,0.0913107672388527
5.0,1.4,0.05,0.15,8.0,0.13267939180369498
2.5,1.5,0.09,0.15,8.0,0.18492972424671994
5.0,1.6,0.03,0.15,8.0,0.10194016174024884
5.0,1.7,0.01,0.15,8.0,0.050916360711091284
2.5,1.7,0.1,0.15,8.0,0.20555947903981253
5.0,1.7,0.2,0.15,8.0,0.340114275759291
5.0,2.0,0.01,0.15,8.0,0.0536853362840546
